Point ID,vtkOriginalPointIds,Points_0,Points_1,Points_2,Points_Magnitude
235,47882,22.6881,-35.3251,224.206,228.103
236,47887,22.9938,-34.3707,222.923,226.726
237,47888,22.8449,-33.3838,223.393,227.026
238,47889,22.7308,-34.3168,223.893,227.645
239,47890,22.5916,-33.2259,224.359,227.928
240,47895,22.8275,-31.2141,223.148,226.474
241,47896,22.8545,-32.3608,223.293,226.78
242,47897,22.5744,-31.6696,224.2,227.548
243,47903,22.4954,-29.0618,223.225,226.23
244,47904,22.6876,-30.2065,223.239,226.413
245,47905,22.4653,-30.7104,224.281,227.486
246,47906,22.312,-29.6399,224.274,227.322
247,47911,22.2197,-28.0035,223.282,226.126
248,47912,21.888,-26.9327,223.275,225.956
249,47913,22.0731,-28.5798,224.347,227.235
250,47914,21.7323,-27.308,224.261,226.96
251,47919,21.6346,-25.8832,222.761,225.301
252,47920,21.3511,-25.8845,223.802,226.303
253,47921,20.9031,-24.8492,223.779,226.123
254,47922,21.1717,-24.8128,222.765,225.14
255,47926,19.7828,-22.798,223.77,225.797
256,47927,20.4109,-23.8459,223.75,225.941
257,47928,19.906,-22.5407,222.787,224.807
258,47929,20.6377,-23.7311,222.758,224.967
259,47934,19.1945,-21.5627,222.794,224.657
260,47935,18.2496,-20.5826,223.275,224.963
261,47936,19.0232,-21.7031,223.724,225.577
262,47937,17.8426,-20.5278,224.326,225.969
263,47938,18.52,-21.3606,224.422,226.196
264,47944,16.1201,-18.8284,224.202,225.568
265,47946,17.303,-19.5794,223.266,224.79
266,47947,16.7859,-19.6185,224.724,226.202
267,48030,8.86281,-57.0838,224.961,232.26
268,48042,7.35919,-56.9132,226.732,233.881
269,48043,7.99104,-56.9984,226.041,233.254
270,48044,9.90411,-56.4598,225.489,232.661
271,48045,8.86949,-56.6628,226.073,233.235
272,48046,10.2041,-55.9723,226.32,233.362
273,48047,11.5247,-55.9226,224.788,231.926
274,48048,10.9174,-55.9902,225.441,232.546
275,48049,11.5214,-55.3699,226.129,233.094
276,48050,12.4748,-55.3445,224.865,231.911
277,48051,13.43,-54.4923,225.41,232.291
278,48052,12.3876,-54.9459,225.933,232.848
279,48059,13.4178,-54.0316,226.392,233.136
280,48060,16.1187,-52.4558,224.954,231.55
281,48061,14.9972,-53.1664,225.609,232.273
282,48062,15.5887,-52.4951,225.89,232.433
283,48063,14.2629,-53.5405,226.086,232.777
284,48064,14.9807,-53.5755,224.748,231.531
285,48065,14.2391,-54.1229,224.875,231.735
286,48070,17.953,-50.3554,225.132,231.392
287,48071,16.6158,-51.7044,225.475,231.924
288,48072,17.3173,-50.7573,225.801,232.082
289,48073,16.2442,-51.601,226.363,232.738
290,48074,16.779,-50.9122,226.568,232.823
291,48080,17.9573,-49.917,225.895,232.04
292,48081,18.3898,-49.1765,226.139,232.154
293,48082,18.8192,-48.3181,226.474,232.335
294,48083,18.7841,-49.3978,224.838,230.966
295,48084,19.1218,-48.3858,225.694,231.613
296,48085,19.2791,-48.6469,224.862,230.871
297,48091,20.404,-46.7121,224.802,230.508
298,48092,20.1481,-46.3921,225.958,231.55
299,48093,19.7046,-47.9111,224.939,230.827
300,48094,19.7935,-47.316,225.623,231.379
301,48095,19.3921,-47.3675,226.513,232.224
302,48100,20.5322,-45.464,226.066,231.505
303,48101,20.7591,-44.6749,226.284,231.584
304,48102,20.9444,-45.3768,225.009,230.492
305,48103,21.3645,-44.2678,224.989,230.295
306,48108,21.1641,-43.6943,226.105,231.259
307,48109,21.6787,-43.1842,225.024,230.153
308,48110,21.5154,-42.4152,226.08,231.028
